,factors,cv_score,cv_score_std
1609,"['bulk_modulus_fcc', 'unstable_stack_energy_fcc', 'vacancy_migration_energy_fcc']",-220.30847425034074,279.29178101847
2097,"['c11_fcc', 'thermal_expansion_coeff_fcc', 'vacancy_migration_energy_fcc']",-220.73061423359928,286.44651526781894
1399,"['bulk_modulus_bcc', 'unstable_stack_energy_fcc', 'vacancy_migration_energy_fcc']",-220.87724000856605,294.31748090322895
2055,"['c11_fcc', 'c44_bcc', 'vacancy_migration_energy_fcc']",-220.88594348475178,283.3730298140439
1754,"['bulk_modulus_sc', 'c44_sc', 'vacancy_migration_energy_fcc']",-220.93942423381392,275.81697088916985
279,"['c44_fcc', 'unstable_stack_energy_fcc']",-220.9431788083349,264.4907985829647
159,"['bulk_modulus_sc', 'vacancy_migration_energy_fcc']",-220.99190787125215,276.2006418971263
2254,"['c11_sc', 'extr_stack_fault_energy_fcc', 'vacancy_migration_energy_fcc']",-221.00369585709987,263.9349031862995
1339,"['bulk_modulus_bcc', 'c44_fcc', 'unstable_stack_energy_fcc']",-221.09485702128475,263.45939113840313
2944,"['unstable_stack_energy_slip_fraction_fcc', 'unrelaxed_formation_potential_energy_fcc', 'vacancy_migration_energy_fcc']",-221.09557260278382,277.28025108324437
805,"['lattice_constant_fcc', 'c12_bcc', 'vacancy_migration_energy_fcc']",-221.20871870160553,287.67491960253415
571,"['lattice_constant_bcc', 'c44_bcc', 'vacancy_migration_energy_fcc']",-221.21930777249625,289.35177022455684
715,"['lattice_constant_fcc', 'bulk_modulus_fcc', 'vacancy_migration_energy_fcc']",-221.38860924727987,280.29990789371004
2584,"['c12_sc', 'unrelaxed_formation_potential_energy_fcc', 'vacancy_migration_energy_fcc']",-221.40015009451733,268.6937648261118
1910,"['c11_bcc', 'c44_fcc', 'unstable_stack_energy_fcc']",-221.43381934381154,265.6335692614231
2704,"['c44_fcc', 'ideal_surface_energy_100_fcc', 'unstable_stack_energy_fcc']",-221.5234296389597,271.8701689126736
2259,"['c11_sc', 'unstable_stack_energy_fcc', 'vacancy_migration_energy_fcc']",-221.64490284484876,265.57790596671236
820,"['lattice_constant_fcc', 'c12_fcc', 'vacancy_migration_energy_fcc']",-221.77642215483837,282.01287046628966
855,"['lattice_constant_fcc', 'c44_fcc', 'unstable_stack_energy_fcc']",-221.98561326245303,267.39546107589035
529,"['lattice_constant_bcc', 'c12_bcc', 'vacancy_migration_energy_fcc']",-222.00987147890126,289.39876664543954
1806,"['bulk_modulus_sc', 'relaxed_formation_potential_energy_fcc', 'vacancy_migration_energy_fcc']",-222.1113287182448,272.9715499488284
