,factors,r2_cv_score,rmse_cv_score
4124,"['c44_fcc', 'vacancy_migration_energy_fcc', 'bulk_modulus_bcc']",0.7179441395526012,-305.01020938601795
3511,"['lattice_constant_fcc', 'vacancy_migration_energy_fcc', 'extr_stack_fault_energy_fcc']",0.7175406535449325,-318.0522776703958
3103,"['unstable_twinning_energy_fcc', 'c44_fcc', 'bulk_modulus_bcc']",0.7173782209984533,-316.51205478643806
4027,"['surface_energy_100_fcc', 'vacancy_migration_energy_fcc', 'c11_sc']",0.7173545528048334,-300.29069823838313
4424,"['vacancy_migration_energy_fcc', 'c11_sc', 'lattice_constant_sc']",0.7171328642390828,-314.9060432802696
4414,"['vacancy_migration_energy_fcc', 'c44_sc', 'cohesive_energy_fcc']",0.7170486521578838,-300.4106343511307
2870,"['bulk_modulus_fcc', 'surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",0.7168369170005648,-313.07356522604795
4413,"['vacancy_migration_energy_fcc', 'c44_sc', 'c11_sc']",0.716306380783329,-311.85632724025174
422,"['vacancy_migration_energy_fcc', 'c11_sc']",0.716289671069994,-313.48510867266066
3099,"['unstable_twinning_energy_fcc', 'c44_fcc', 'lattice_constant_bcc']",0.716181143138688,-309.87536149464376
3270,"['intr_stack_fault_energy_fcc', 'surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",0.7161686306192783,-304.96116311528783
423,"['vacancy_migration_energy_fcc', 'cohesive_energy_fcc']",0.7161571083289622,-305.8070305625889
421,"['vacancy_migration_energy_fcc', 'c44_sc']",0.7156999230116067,-315.9789621807674
4433,"['vacancy_migration_energy_fcc', 'lattice_constant_bcc', 'lattice_constant_sc']",0.7156512089646044,-309.5311164910097
2765,"['bulk_modulus_fcc', 'unstable_twinning_energy_fcc', 'vacancy_migration_energy_fcc']",0.7153493689072934,-306.4177139298473
3027,"['unstable_twinning_energy_fcc', 'c11_fcc', 'c44_fcc']",0.7152420299908977,-314.4598422448994
4321,"['thermal_expansion_coeff_fcc', 'vacancy_migration_energy_fcc', 'relaxed_formation_potential_energy_fcc']",0.7151773086949746,-305.40485705704873
4119,"['c44_fcc', 'vacancy_migration_energy_fcc', 'cohesive_energy_fcc']",0.7150810406042658,-300.43452098832256
2095,"['ideal_surface_energy_100_fcc', 'c12_fcc', 'vacancy_migration_energy_fcc']",0.714983724617672,-306.5329616124267
3805,"['c44_bcc', 'vacancy_migration_energy_fcc', 'lattice_constant_diamond']",0.7148493497255413,-310.37139462097997
2945,"['bulk_modulus_fcc', 'vacancy_migration_energy_fcc', 'lattice_constant_diamond']",0.7146538980465289,-313.51274759616285
3730,"['c44_bcc', 'surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",0.7145775127014383,-305.43431590837633
4367,"['bulk_modulus_sc', 'vacancy_migration_energy_fcc', 'lattice_constant_sc']",0.7144317640427994,-320.33726037734846
3669,"['c11_fcc', 'vacancy_migration_energy_fcc', 'lattice_constant_diamond']",0.7143735257271244,-310.46860209832755
2785,"['bulk_modulus_fcc', 'intr_stack_fault_energy_fcc', 'vacancy_migration_energy_fcc']",0.7141090108182665,-311.9980632961274
1557,"['unstable_stack_energy_fcc', 'vacancy_migration_energy_fcc', 'c11_sc']",0.7140225325914493,-312.87054419500384
725,"['c12_bcc', 'c44_bcc', 'vacancy_migration_energy_fcc']",0.7139667623091122,-316.13884855757067
1210,"['unstable_stack_energy_slip_fraction_fcc', 'vacancy_migration_energy_fcc', 'relaxed_formation_potential_energy_fcc']",0.7139383640008882,-317.88589505091534
3091,"['unstable_twinning_energy_fcc', 'c44_fcc', 'relaxation_volume_fcc']",0.7137270452005705,-316.5951416121659
1779,"['unstable_twinning_energy_slip_fraction_fcc', 'c44_bcc', 'vacancy_migration_energy_fcc']",0.7136472627503436,-313.5878643709375
425,"['vacancy_migration_energy_fcc', 'lattice_constant_diamond']",0.7134137023763186,-315.1541165537255
4362,"['bulk_modulus_sc', 'vacancy_migration_energy_fcc', 'c11_sc']",0.7133308554938672,-315.1489154999433
770,"['c12_bcc', 'c44_fcc', 'vacancy_migration_energy_fcc']",0.7126053698536005,-308.8900986803543
4263,"['relaxation_volume_fcc', 'vacancy_migration_energy_fcc', 'cohesive_energy_fcc']",0.7125056431709337,-311.43116412263623
2006,"['ideal_surface_energy_100_fcc', 'unstable_twinning_energy_fcc', 'extr_stack_fault_energy_fcc']",0.7122678413618297,-303.6706876424652
4431,"['vacancy_migration_energy_fcc', 'lattice_constant_bcc', 'lattice_constant_diamond']",0.7121280373492097,-309.8818559179248
2400,"['c11_bcc', 'c44_fcc', 'vacancy_migration_energy_fcc']",0.711830084118221,-312.04806617885043
3518,"['lattice_constant_fcc', 'vacancy_migration_energy_fcc', 'lattice_constant_sc']",0.7115916521313105,-307.0247680139041
240,"['unstable_twinning_energy_fcc', 'c44_fcc']",0.7115562239732456,-313.85852968844495
1501,"['unstable_stack_energy_fcc', 'c44_fcc', 'c44_sc']",0.7114395951488125,-316.88607277176345
3343,"['intr_stack_fault_energy_fcc', 'vacancy_migration_energy_fcc', 'cohesive_energy_fcc']",0.7112998225273476,-320.0507624266348
756,"['c12_bcc', 'surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",0.7112132052532513,-316.115796121895
1882,"['unstable_twinning_energy_slip_fraction_fcc', 'vacancy_migration_energy_fcc', 'c11_sc']",0.7109888515049954,-315.74311624250345
3160,"['unstable_twinning_energy_fcc', 'extr_stack_fault_energy_fcc', 'c11_sc']",0.710968646212574,-310.7299826403048
4425,"['vacancy_migration_energy_fcc', 'c11_sc', 'bulk_modulus_bcc']",0.7109680798210198,-316.6279314926314
4199,"['c12_sc', 'vacancy_migration_energy_fcc', 'lattice_constant_diamond']",0.710758993771684,-308.8680076449268
3515,"['lattice_constant_fcc', 'vacancy_migration_energy_fcc', 'lattice_constant_bcc']",0.7104551202639157,-315.50304161343325
