,species,Strength (Mpa),citations,model
158,Al,817,"\cite{OpenKIM-SM:721930391003:000a},\cite{OpenKIM-SM:721930391003:000}",Sim\_LAMMPS\_MEAM\_PascuetFernandez\_2015\_AlU\_\_SM\_721930391003\_000
38,Al,893,"\cite{OpenKIM-MO:106969701023:005a},\cite{OpenKIM-MO:106969701023:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_MendelevKramerBecker\_2008\_Al\_\_MO\_106969701023\_005
36,Al,899,"\cite{OpenKIM-MO:658278549784:005a},\cite{OpenKIM-MO:658278549784:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_MendelevAstaRahman\_2009\_AlMg\_\_MO\_658278549784\_005
27,Al,986,"\cite{OpenKIM-MO:042691367780:000a},\cite{OpenKIM-MO:042691367780:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_FarkasJones\_1996\_NbTiAl\_\_MO\_042691367780\_000
37,Al,998,"\cite{OpenKIM-MO:338600200739:000a},\cite{OpenKIM-MO:338600200739:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_MendelevFangYe\_2015\_AlSm\_\_MO\_338600200739\_000
24,Al,1027,"\cite{OpenKIM-MO:123629422045:005a},\cite{OpenKIM-MO:123629422045:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_ErcolessiAdams\_1994\_Al\_\_MO\_123629422045\_005
61,Al,1069,"\cite{OpenKIM-MO:117656786760:005a},\cite{OpenKIM-MO:117656786760:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_ZopeMishin\_2003\_TiAl\_\_MO\_117656786760\_005
43,Al,1075,"\cite{OpenKIM-MO:101214310689:005a},\cite{OpenKIM-MO:101214310689:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_Mishin\_2004\_NiAl\_\_MO\_101214310689\_005
33,Al,1077,"\cite{OpenKIM-MO:020851069572:000a},\cite{OpenKIM-MO:020851069572:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_LiuLiuBorucki\_1999\_AlCu\_\_MO\_020851069572\_000
60,Al,1077,"\cite{OpenKIM-MO:664470114311:005a},\cite{OpenKIM-MO:664470114311:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_ZopeMishin\_2003\_Al\_\_MO\_664470114311\_005
29,Al,1088,"\cite{OpenKIM-MO:699137396381:005a},\cite{OpenKIM-MO:699137396381:005b},\cite{OpenKIM-MO:699137396381:005c},\cite{OpenKIM-MO:699137396381:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_LandaWynblattSiegel\_2000\_AlPb\_\_MO\_699137396381\_005
47,Al,1096,"\cite{OpenKIM-MO:678952612413:000a},\cite{OpenKIM-MO:678952612413:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_PunYamakovMishin\_2013\_AlCo\_\_MO\_678952612413\_000
35,Al,1099,"\cite{OpenKIM-MO:559870613549:000a},\cite{OpenKIM-MO:559870613549:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_LiuOhotnickyAdams\_1997\_AlMg\_\_MO\_559870613549\_000
40,Al,1102,"\cite{OpenKIM-MO:651801486679:005a},\cite{OpenKIM-MO:651801486679:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_MishinFarkasMehl\_1999\_Al\_\_MO\_651801486679\_005
